clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref,gain,match_error,match_metric,limiter_target_dba
541260__bertsz__drum-and-bass-loop,proposed,74.87018468482133,-15.203599322885156,17.63706434110959,1.2724213762023853,0.16702356125770812,0.7003935315127876,-0.18588091102593296,-1.7978247862490058,,,,
541260__bertsz__drum-and-bass-loop,gain_matched_exposure,74.87018468482131,-13.591655447662092,11.97113899323396,0.9764817742306093,0.24609749441061277,0.18588091102593346,-0.18588091102594717,-0.18588091102594184,0.9788270315733762,1.4210854715202004e-14,laeq,
541260__bertsz__drum-and-bass-loop,gain_matched_loudness,73.25824080959825,-15.203599322885168,11.971138993233964,0.811086079852778,0.20441369953921443,1.7978247862490055,-1.7978247862490093,-1.7978247862490182,0.8130340994007,1.2434497875801753e-14,lufs,
541260__bertsz__drum-and-bass-loop,limiter_matched_exposure,75.05601133089614,-13.405886638333689,11.971256558293877,0.9976040124893188,0.25141741648088495,4.522376283781788e-05,-5.4264951117488636e-05,-0.00011210169753894661,,0.18582664607481547,laeq,84.0
541260__bertsz__drum-and-bass-loop,limiter_matched_loudness,73.0403167785757,-15.172374897797186,13.37748999037963,0.9968621134757996,0.21367838426283628,1.6878452910414208,-2.0157488172715574,-1.7666003611610357,,0.031224425087970076,lufs,76.5
627643__asiilanna__female-vocal,original,76.23686873580496,-16.88182237870546,15.512169221658418,0.8008811619152273,0.1342640110650817,,,,,,,
627643__asiilanna__female-vocal,proposed,74.36893959967836,-18.681073714880217,12.941151118240537,0.4874604302325459,0.10987067978150522,0.5714400990817647,-1.8679291361266053,-1.7992513361747555,,,,
627643__asiilanna__female-vocal,gain_matched_exposure,74.36893959967836,-18.749751514832063,15.512169221658418,0.6459094248408076,0.1082837183440285,1.3979776799414796,-1.8679291361266053,-1.8679291361266017,0.8064984613899268,0.0,laeq,
627643__asiilanna__female-vocal,gain_matched_loudness,74.43761739963021,-18.681073714880213,15.512169221658418,0.6510367606893148,0.1091432924104881,1.3470483006154854,-1.7992513361747484,-1.799251336174752,0.812900579572162,3.552713678800501e-15,lufs,
627643__asiilanna__female-vocal,limiter_matched_exposure,74.23637390887149,-18.815679003092765,13.748148254767877,0.5267795969517249,0.10819857297710705,1.081566890367848,-2.000494826933476,-1.9338566243873032,,0.13256569080687086,laeq,78.0
627643__asiilanna__female-vocal,limiter_matched_loudness,74.23637390887149,-18.815679003092765,13.748148254767877,0.5267795969517249,0.10819857297710705,1.081566890367848,-2.000494826933476,-1.9338566243873032,,0.1346052882125477,lufs,78.0
628213__josefpres__bass-loops-033-with-drums-long-loop-120-bpm,original,65.00246098141508,-16.98230079378953,12.562774086751325,0.6937991056720497,0.16334093277793907,,,,,,,
628213__josefpres__bass-loops-033-with-drums-long-loop-120-bpm,proposed,63.5639788280249,-20.012749034652174,13.275857603954957,0.5211921963813596,0.11303294014632242,0.5824474426220398,-1.4384821533901828,-3.0304482408626434,,,,
628213__josefpres__bass-loops-033-with-drums-long-loop-120-bpm,gain_matched_exposure,63.563978828024915,-18.42078294717973,12.562774086751325,0.5879083493865355,0.13841110112662378,1.3604403381412096,-1.4384821533901686,-1.4384821533902006,0.8473754788384413,1.4210854715202004e-14,laeq,
628213__josefpres__bass-loops-033-with-drums-long-loop-120-bpm,gain_matched_loudness,61.97201274055246,-20.01274903465221,12.562774086751327,0.4894533706451989,0.1152318725390278,2.8594385968850005,-3.0304482408626257,-3.030448240862679,0.705468436963592,3.552713678800501e-14,lufs,
628213__josefpres__bass-loops-033-with-drums-long-loop-120-bpm,limiter_matched_exposure,63.54715951379655,-18.252114226958046,12.633474418462198,0.6078375543357,0.14194294377638408,1.519376092973221,-1.4553014676185327,-1.2698134331685154,,0.016819314228349924,laeq,68.25
