clip,system,laeq_proxy,lufs,crest_db,peak,rms,lsd_vs_ref,dlaeq_vs_ref,dlufs_vs_ref
529808__logicogonist__bass-loop-and-drums-130-bpm,broadband_limiter,73.80162663569297,-9.864703549036236,8.567314631947346,1.0166005660025552,0.3791269137666581,0.7527911144056859,-0.8147492910360654,-0.46627156256531066
529808__logicogonist__bass-loop-and-drums-130-bpm,ablation_crossover_only,74.6111735171285,-9.401152426401165,12.440865612345238,1.667285924037885,0.3980767408943362,0.005144006826431425,-0.005202409600528313,-0.0027204399302398485
529808__logicogonist__bass-loop-and-drums-130-bpm,ablation_mid_only,74.56068583859344,-9.40971977464475,11.7421563260616,1.5376951667312841,0.39788945821824007,0.03854828711258568,-0.05569008813559151,-0.011287788173824254
529808__logicogonist__bass-loop-and-drums-130-bpm,ablation_mid_low,73.83739106833607,-12.479098945970401,14.802183976458934,1.445773720770335,0.2630214257917746,0.5408656514317592,-0.7789848583929597,-3.080666959499476
529808__logicogonist__bass-loop-and-drums-130-bpm,ablation_mid_high,74.56068583859344,-9.40971977464475,11.7421563260616,1.5376951667312841,0.39788945821824007,0.03854828711258568,-0.05569008813559151,-0.011287788173824254
529808__logicogonist__bass-loop-and-drums-130-bpm,ablation_full,73.83739106833607,-12.479098945970401,14.802183976458934,1.445773720770335,0.2630214257917746,0.5408656514317592,-0.7789848583929597,-3.080666959499476
541260__bertsz__drum-and-bass-loop,original,75.05606559584726,-13.40577453663615,11.971138993233971,0.9976040124893188,0.2514208194833289,,,
541260__bertsz__drum-and-bass-loop,broadband_limiter,73.85412546011946,-14.46822962320485,12.794940419914893,0.9968621134757996,0.22850098136445995,0.9770251170857858,-1.2019401357277957,-1.0624550865687006
541260__bertsz__drum-and-bass-loop,ablation_crossover_only,75.05604461667869,-13.40595966914863,14.88247674809995,1.394797953014026,0.25141284578970763,0.05157828598288943,-2.0979168567691886e-05,-0.0001851325124793135
541260__bertsz__drum-and-bass-loop,ablation_mid_only,74.96424660823251,-13.449106707258677,14.90824048409027,1.394797953014026,0.2506682200184704,0.07227367387130869,-0.09181898761474372,-0.043332170622527144
541260__bertsz__drum-and-bass-loop,ablation_mid_low,74.87018468482133,-15.203599322885156,17.63706434110959,1.2724213762023853,0.16702356125770812,0.7003935315127876,-0.18588091102593296,-1.7978247862490058
541260__bertsz__drum-and-bass-loop,ablation_mid_high,74.96424660823251,-13.449106707258677,14.90824048409027,1.394797953014026,0.2506682200184704,0.07227367387130869,-0.09181898761474372,-0.043332170622527144
541260__bertsz__drum-and-bass-loop,ablation_full,74.87018468482133,-15.203599322885156,17.63706434110959,1.2724213762023853,0.16702356125770812,0.7003935315127876,-0.18588091102593296,-1.7978247862490058
